source,target,text,url
Jogador_91,Flamengo,"Pega essa duplinha! 😍😍😍
#OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/IuDmEFISbI",https://twitter.com/Jogador_91/status/1200419675332661249
Jogador_91,Flamengo,"Aquele 😘 nela!!! #OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/fGY5sPMloK",https://twitter.com/Jogador_91/status/1200418384132923392
deycksom1,Flamengo,"Pega essa duplinha! 😍😍😍
#OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/IuDmEFISbI",https://twitter.com/deycksom1/status/1200419661369794561
deycksom1,Flamengo,"Bom dia, Nação! Logo mais, às 16h, o Mengão treina no Ninho do Urubu visando a partida contra o Palmeiras, pelo @Brasileirao! Vamooos! 

#OBrasileiroJáGanhamos7 #VencemosJuntos #EsseÉONossoLugar

📸 Marcelo Cortes https://t.co/m6hINsb6qJ",https://twitter.com/deycksom1/status/1200419401138343937
crf_lu81,Flamengo,"Pega essa duplinha! 😍😍😍
#OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/IuDmEFISbI",https://twitter.com/crf_lu81/status/1200394052291694592
hopjoon,Flamengo,"Aquele 😘 nela!!! #OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/fGY5sPMloK",https://twitter.com/hopjoon/status/1200403966703677441
hopjoon,Flamengo,"Bom dia, Nação! Logo mais, às 16h, o Mengão treina no Ninho do Urubu visando a partida contra o Palmeiras, pelo @Brasileirao! Vamooos! 

#OBrasileiroJáGanhamos7 #VencemosJuntos #EsseÉONossoLugar

📸 Marcelo Cortes https://t.co/m6hINsb6qJ",https://twitter.com/hopjoon/status/1200392038535090177
hopjoon,Flamengo,"Pega essa duplinha! 😍😍😍
#OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/IuDmEFISbI",https://twitter.com/hopjoon/status/1200417561894109189
Ale_atorio_,Flamengo,"Pega essa duplinha! 😍😍😍
#OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/IuDmEFISbI",https://twitter.com/Ale_atorio_/status/1200393428736987136
Ale_atorio_,Flamengo,"Bom dia, Nação! Logo mais, às 16h, o Mengão treina no Ninho do Urubu visando a partida contra o Palmeiras, pelo @Brasileirao! Vamooos! 

#OBrasileiroJáGanhamos7 #VencemosJuntos #EsseÉONossoLugar

📸 Marcelo Cortes https://t.co/m6hINsb6qJ",https://twitter.com/Ale_atorio_/status/1200391093898153985
thayssavilar_,Flamengo,"Aquele 😘 nela!!! #OBrasileiroJáGanhamos7

📸 Marcelo Cortes https://t.co/fGY5sPMloK",https://twitter.com/thayssavilar_/status/1200419645569851392
